date,description,amount,currency,labeled_category
2026-02-02,Paid at Corner Cafe #1,-12.50,USD,Food
2026-03-03,Netflix Subscription 2,-16.99,USD,Luxuries
2026-04-04,Landlord Corp Monthly Rent 3,-1250.00,USD,Rent
2026-05-05,Uber Ride 4,-24.30,USD,Transport
2026-06-06,Electric Utility Bill 5,-92.10,USD,Utilities
2026-07-07,City Pharmacy 6,-33.40,USD,Healthcare
2026-08-08,Grocery Mart Purchase 7,-67.25,USD,Food
2026-09-09,Unknown Vendor 8,-41.75,USD,Uncategorized
2026-10-10,Amazon Prime Order 9,-28.60,USD,Luxuries
2026-11-11,Starbucks Store #10,-5.80,USD,Food
2026-12-12,Paid at Corner Cafe #11,-12.50,USD,Food
2026-01-13,Netflix Subscription 12,-16.99,USD,Luxuries
2026-02-14,Landlord Corp Monthly Rent 13,-1250.00,USD,Rent
2026-03-15,Uber Ride 14,-24.30,USD,Transport
2026-04-16,Electric Utility Bill 15,-92.10,USD,Utilities
2026-05-17,City Pharmacy 16,-33.40,USD,Healthcare
2026-06-18,Grocery Mart Purchase 17,-67.25,USD,Food
2026-07-19,Unknown Vendor 18,-41.75,USD,Uncategorized
2026-08-20,Amazon Prime Order 19,-28.60,USD,Luxuries
2026-09-21,Starbucks Store #20,-5.80,USD,Food
2026-10-22,Paid at Corner Cafe #21,-12.50,USD,Food
2026-11-23,Netflix Subscription 22,-16.99,USD,Luxuries
2026-12-24,Landlord Corp Monthly Rent 23,-1250.00,USD,Rent
2026-01-25,Uber Ride 24,-24.30,USD,Transport
2026-02-26,Electric Utility Bill 25,-92.10,USD,Utilities
2026-03-27,City Pharmacy 26,-33.40,USD,Healthcare
2026-04-28,Grocery Mart Purchase 27,-67.25,USD,Food
2026-05-01,Unknown Vendor 28,-41.75,USD,Uncategorized
2026-06-02,Amazon Prime Order 29,-28.60,USD,Luxuries
2026-07-03,Starbucks Store #30,-5.80,USD,Food
2026-08-04,Paid at Corner Cafe #31,-12.50,USD,Food
2026-09-05,Netflix Subscription 32,-16.99,USD,Luxuries
2026-10-06,Landlord Corp Monthly Rent 33,-1250.00,USD,Rent
2026-11-07,Uber Ride 34,-24.30,USD,Transport
2026-12-08,Electric Utility Bill 35,-92.10,USD,Utilities
2026-01-09,City Pharmacy 36,-33.40,USD,Healthcare
2026-02-10,Grocery Mart Purchase 37,-67.25,USD,Food
2026-03-11,Unknown Vendor 38,-41.75,USD,Uncategorized
2026-04-12,Amazon Prime Order 39,-28.60,USD,Luxuries
2026-05-13,Starbucks Store #40,-5.80,USD,Food
2026-06-14,Paid at Corner Cafe #41,-12.50,USD,Food
2026-07-15,Netflix Subscription 42,-16.99,USD,Luxuries
2026-08-16,Landlord Corp Monthly Rent 43,-1250.00,USD,Rent
2026-09-17,Uber Ride 44,-24.30,USD,Transport
2026-10-18,Electric Utility Bill 45,-92.10,USD,Utilities
