date,description,amount,currency,labeled_category
2026-02-02,DEBIT 2/2 NETFLIX.COM MONTHLY REF 100001,$8.91,USD,Luxuries
2026-03-03,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100002,$1120.00,USD,Rent
2026-04-04,CARD 4/4 SHELL OIL 1003 MOUNTAIN VIEW CA,$14.49,USD,Transport
2026-05-05,ONLINE WATER UTILITY AUTOPAY ACCT 100004,$39.48,USD,Utilities
2026-06-06,CARD 6/6 CVS PHARMACY 1005 PALO ALTO CA,$14.25,USD,Healthcare
2026-07-07,CARD 7/7 TARGET T-1006 SUNNYVALE CA,$21.54,USD,Misc
2026-08-08,POS 8/8 DOORDASH ORDER 100007 21:49,$17.93,USD,Food
2026-09-09,ACH PGANDE ELECTRIC BILL ACCT 100008,$52.48,USD,Utilities
2026-10-10,CARD 10/10 UBER TRIP HELP.UBER.COM REF 100009,$14.92,USD,Transport
2026-11-11,CARD 11/11 WHOLE FOODS MARKET 1010 CUPERTINO CA,$32.40,USD,Food
2026-12-12,POS 12/12 UNKNOWN MERCHANT ONLINE REF 100011,$15.12,USD,Uncategorized
2026-01-13,CARD 1/13 STARBUCKS #1012 SAN JOSE CA REF 100012,$13.24,USD,Food
2026-02-14,DEBIT 2/14 NETFLIX.COM MONTHLY REF 100013,$19.83,USD,Luxuries
2026-03-15,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100014,$1460.00,USD,Rent
2026-04-16,CARD 4/16 SHELL OIL 1015 MOUNTAIN VIEW CA,$24.45,USD,Transport
2026-05-17,ONLINE WATER UTILITY AUTOPAY ACCT 100016,$52.92,USD,Utilities
2026-06-18,CARD 6/18 CVS PHARMACY 1017 PALO ALTO CA,$26.85,USD,Healthcare
2026-07-19,CARD 7/19 TARGET T-1018 SUNNYVALE CA,$34.62,USD,Misc
2026-08-20,POS 8/20 DOORDASH ORDER 100019 9:13,$29.81,USD,Food
2026-09-21,ACH PGANDE ELECTRIC BILL ACCT 100020,$68.20,USD,Utilities
2026-10-22,CARD 10/22 UBER TRIP HELP.UBER.COM REF 100021,$25.48,USD,Transport
2026-11-23,CARD 11/23 WHOLE FOODS MARKET 1022 CUPERTINO CA,$47.28,USD,Food
2026-12-24,POS 12/24 UNKNOWN MERCHANT ONLINE REF 100023,$26.16,USD,Uncategorized
2026-01-25,CARD 1/25 STARBUCKS #1024 SAN JOSE CA REF 100024,$22.48,USD,Food
2026-02-26,DEBIT 2/26 NETFLIX.COM MONTHLY REF 100025,$8.00,USD,Luxuries
2026-03-27,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100026,$1120.00,USD,Rent
2026-04-28,CARD 4/28 SHELL OIL 1027 MOUNTAIN VIEW CA,$34.41,USD,Transport
2026-05-01,ONLINE WATER UTILITY AUTOPAY ACCT 100028,$66.36,USD,Utilities
2026-06-02,CARD 6/2 CVS PHARMACY 1029 PALO ALTO CA,$39.45,USD,Healthcare
2026-07-03,CARD 7/3 TARGET T-1030 SUNNYVALE CA,$47.70,USD,Misc
2026-08-04,POS 8/4 DOORDASH ORDER 100031 21:37,$41.69,USD,Food
2026-09-05,ACH PGANDE ELECTRIC BILL ACCT 100032,$83.92,USD,Utilities
2026-10-06,CARD 10/6 UBER TRIP HELP.UBER.COM REF 100033,$36.04,USD,Transport
2026-11-07,CARD 11/7 WHOLE FOODS MARKET 1034 CUPERTINO CA,$62.16,USD,Food
2026-12-08,POS 12/8 UNKNOWN MERCHANT ONLINE REF 100035,$37.20,USD,Uncategorized
2026-01-09,CARD 1/9 STARBUCKS #1036 SAN JOSE CA REF 100036,$31.72,USD,Food
2026-02-10,DEBIT 2/10 NETFLIX.COM MONTHLY REF 100037,$18.92,USD,Luxuries
2026-03-11,ACH LANDLORD CORP RENT PAYMENT UNIT 4B REF 100038,$1460.00,USD,Rent
2026-04-12,CARD 4/12 SHELL OIL 1039 MOUNTAIN VIEW CA,$44.37,USD,Transport
2026-05-13,ONLINE WATER UTILITY AUTOPAY ACCT 100040,$79.80,USD,Utilities
2026-06-14,CARD 6/14 CVS PHARMACY 1041 PALO ALTO CA,$52.05,USD,Healthcare
2026-07-15,CARD 7/15 TARGET T-1042 SUNNYVALE CA,$60.78,USD,Misc
2026-08-16,POS 8/16 DOORDASH ORDER 100043 9:1,$53.57,USD,Food
2026-09-17,ACH PGANDE ELECTRIC BILL ACCT 100044,$99.64,USD,Utilities
2026-10-18,CARD 10/18 UBER TRIP HELP.UBER.COM REF 100045,$15.80,USD,Transport
2026-11-19,CARD 11/19 WHOLE FOODS MARKET 1046 CUPERTINO CA,$77.04,USD,Food
2026-12-20,POS 12/20 UNKNOWN MERCHANT ONLINE REF 100047,$48.24,USD,Uncategorized
2026-01-21,CARD 1/21 STARBUCKS #1048 SAN JOSE CA REF 100048,$10.16,USD,Food
